0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6.934e-42,0.0,6.932e-42,0.0,1.12e-43,0.0,1.12e-43,0.0,4.1194305e-13,0.0,1.7337e-41,0.0,1.6966e-41,0.0,1.6964e-41,0.0,4.414e-42,0.0,4.445e-42,0.0,6.932e-42,0.0,6.931e-42,0.0,4.8035534e-13,0.0,4.6e-44,0.0,5.0747514e-13,0.0,3.1926978e-13,0.0,2.69e-43,0.0,1.12e-43,0.0,3.1926762e-13,0.0,1.734e-41,0.0,1.7002e-41,0.0,1.7e-41,0.0,4.362e-42,0.0,4.364e-42,0.0,6.851e-42,0.0
2578.5696,2568.5532,2572.507,2573.5251,2572.538,2574.6675,2576.362,2575.6536,2574.4875,2573.656,2573.6143,2573.6482,2575.2751,2577.9207,2579.5625,2580.4675,2579.0808,2577.8296,2576.9749,2576.4856,2576.7683,2577.5842,2576.3562,2575.2676,2574.5146,2574.4468,2574.4956,2575.459,2576.1294,2576.514,2576.5051,2576.4084,2576.6208,2577.2021,2577.9695,2577.8525,2579.0874,2581.1594,2583.6455,2586.4734,2587.6284,2587.7468,2586.5312,2585.7153,2586.2776,2588.688,2593.399,2598.4517,2604.5776,2610.3274
2619.181,2608.963,2614.776,2609.9407,2606.8176,2610.132,2614.2666,2614.7615,2613.3323,2611.7297,2610.5334,2609.9001,2610.3025,2611.1863,2611.5498,2612.5378,2611.1365,2609.9326,2608.5662,2608.0178,2608.3843,2609.5654,2608.4917,2606.5852,2604.9375,2603.6455,2602.987,2603.7188,2604.476,2605.0337,2605.3667,2605.616,2606.5789,2607.4683,2608.2397,2608.1196,2609.6008,2611.8813,2614.7266,2618.0842,2619.363,2619.249,2617.507,2616.2778,2617.8472,2623.5806,2630.837,2635.282,2640.0825,2645.9292
2606.4927,2592.086,2594.018,2588.0044,2583.0105,2584.3691,2587.5547,2589.6382,2590.0627,2589.5894,2589.4666,2588.3726,2588.2412,2589.1367,2589.8235,2590.8276,2589.718,2588.7332,2587.0608,2586.0977,2586.5605,2587.3665,2585.7424,2583.421,2581.8474,2580.9834,2581.0002,2582.3684,2583.4739,2584.205,2584.441,2584.5073,2584.594,2585.0964,2585.3616,2584.763,2585.5854,2587.4417,2589.691,2592.3281,2593.3313,2593.5422,2593.2654,2595.197,2599.2078,2605.9822,2614.0176,2618.9036,2624.0085,2629.9065
2585.5325,2574.1724,2576.9985,2576.6106,2573.7373,2575.2043,2577.2976,2578.5776,2578.962,2579.2957,2578.6523,2577.0732,2576.378,2577.1333,2578.0278,2579.3044,2578.125,2576.6323,2574.893,2574.0132,2574.36,2575.1865,2573.757,2571.5999,2570.7468,2570.5718,2571.0886,2572.047,2571.9785,2571.447,2570.7214,2570.742,2571.6711,2572.9146,2573.8745,2574.3423,2576.1616,2578.6533,2581.1855,2583.5847,2584.0059,2583.4094,2582.2275,2583.7253,2588.8777,2596.2493,2604.6514,2609.8848,2615.4927,2621.3643
2587.5005,2581.6248,2585.3315,2588.202,2587.8064,2591.6333,2594.7937,2596.285,2596.6228,2597.0447,2596.1775,2594.0554,2592.877,2593.498,2594.703,2595.7136,2594.9163,2594.2136,2592.9954,2592.6353,2592.9968,2593.5823,2592.668,2591.6812,2591.8901,2592.997,2594.6282,2596.4702,2597.1814,2597.1753,2596.1646,2594.6907,2593.8525,2593.88,2593.4792,2593.5483,2595.6082,2598.5376,2601.6238,2604.8318,2606.5205,2606.982,2605.622,2605.6062,2606.696,2608.466,2611.439,2615.1062,2620.21,2624.8074
2583.3464,2576.7876,2578.6416,2581.6702,2581.757,2583.8376,2586.1125,2587.3743,2587.5657,2588.0889,2587.8867,2586.36,2585.3176,2585.4316,2585.9812,2586.6255,2586.1667,2585.3748,2584.7556,2584.648,2585.2153,2585.89,2585.1733,2584.3604,2584.6213,2585.7773,2587.4717,2589.2932,2589.9963,2590.051,2589.162,2587.9976,2587.1274,2587.0713,2586.7437,2586.954,2589.0796,2591.5889,2594.1772,2596.9526,2598.539,2599.672,2599.1475,2599.3894,2600.3857,2601.6328,2604.06,2606.2346,2610.206,2614.113
2585.1677,2577.7322,2578.1633,2579.558,2579.1072,2580.4114,2581.7395,2582.1536,2582.348,2582.6687,2582.258,2580.6804,2579.4727,2579.219,2579.3843,2580.1633,2579.5276,2579.1924,2578.6484,2578.5603,2579.1401,2579.7922,2579.1523,2578.3943,2578.5068,2579.4304,2580.9348,2582.685,2583.3723,2583.4326,2582.748,2581.747,2581.0222,2581.309,2581.2866,2582.0457,2584.1545,2586.4944,2588.7964,2591.26,2592.6924,2593.8,2594.071,2594.5083,2595.5889,2596.7288,2598.702,2600.1948,2603.0603,2606.0876
2581.9702,2573.814,2573.299,2574.2651,2574.0137,2575.1155,2576.283,2576.6748,2576.9265,2577.3303,2577.0012,2575.5317,2574.3784,2574.0706,2574.5283,2575.0994,2574.808,2574.5256,2574.09,2574.102,2574.758,2575.4124,2574.7283,2573.885,2573.8635,2574.6626,2576.0676,2577.721,2578.4475,2578.6382,2578.1562,2577.3547,2576.947,2577.689,2578.154,2578.938,2581.006,2583.267,2585.4548,2587.8215,2589.227,2590.3308,2590.1401,2590.6294,2591.6565,2592.6362,2594.3936,2596.0093,2599.361,2602.298
2573.766,2564.8743,2563.635,2565.042,2565.7463,2567.0781,2568.5186,2569.29,2569.9128,2570.6406,2570.5383,2569.207,2568.1624,2568.306,2568.6401,2569.4893,2569.0679,2568.6533,2568.1973,2568.539,2569.3254,2569.8354,2569.041,2568.1145,2568.0444,2568.862,2570.2734,2571.9353,2572.6663,2572.9138,2572.574,2572.2063,2572.5234,2573.523,2574.058,2574.8813,2576.9084,2579.167,2581.3281,2583.6572,2584.989,2585.6323,2584.9658,2585.463,2586.468,2587.3972,2589.3608,2591.5798,2595.3713,2598.9204
